subject,body,sender,reply_to,urls,spf,dkim,dmarc,num_attachments,attachment_types,phishing_type,label
Receipt for order #10001,Thanks for your purchase. Your receipt is attached as a PDF. Track shipping at https://www.amazon.com/gp/your-account/order-history?order=10001,auto-confirm@amazon.com,auto-confirm@amazon.com,https://www.amazon.com/gp/your-account/order-history?order=10001,pass,pass,pass,1,pdf,legitimate,legit
Netflix: update your payment or lose access,Your membership will be terminated. Enter your credit card at http://netflix-update.top/billing immediately.,billing@netflix-update.top,billing@netflix-update.top,http://netflix-update.top/billing,fail,fail,fail,0,,financial_scam,phishing
Mailbox quota exceeded (15),Your inbox is over quota. Click here to keep receiving mail and enter your password: http://10.4.15.20/quota/login,mailadmin@quota-fix15.xyz,mailadmin@quota-fix15.xyz,http://10.4.15.20/quota/login,fail,none,fail,0,,credential_harvesting,phishing
Password change confirmation (10),"Your password was changed successfully. If you did not do this, visit https://myaccount.google.com/security and sign in from a trusted device.",no-reply@accounts.google.com,no-reply@accounts.google.com,https://myaccount.google.com/security,pass,pass,pass,0,,legitimate,legit
Apple ID locked!!!,Your Apple ID has been locked. Click http://apple.com.secure-id.gq/unlock and enter your password right now.,support@apple.com.secure-id.gq,support@apple.com.secure-id.gq,http://apple.com.secure-id.gq/unlock,fail,none,fail,0,,credential_harvesting,phishing
Receipt for order #10006,Thanks for your purchase. Your receipt is attached as a PDF. Track shipping at https://www.amazon.com/gp/your-account/order-history?order=10006,auto-confirm@amazon.com,auto-confirm@amazon.com,https://www.amazon.com/gp/your-account/order-history?order=10006,pass,pass,pass,1,pdf,legitimate,legit
Finance sync notes 7,Hi team — Quinn Okoye captured notes from the finance sync. Please review the ticket list and add estimates before Thursday. Doc: https://harborlabs.io/docs/sync-7,quinn@harborlabs.io,quinn@harborlabs.io,https://harborlabs.io/docs/sync-7,pass,pass,pass,0,,legitimate,legit
Mailbox quota exceeded (4),Your inbox is over quota. Click here to keep receiving mail and enter your password: http://10.4.4.20/quota/login,mailadmin@quota-fix4.xyz,mailadmin@quota-fix4.xyz,http://10.4.4.20/quota/login,fail,none,fail,0,,credential_harvesting,phishing
Receipt for order #10002,Thanks for your purchase. Your receipt is attached as a PDF. Track shipping at https://www.amazon.com/gp/your-account/order-history?order=10002,auto-confirm@amazon.com,auto-confirm@amazon.com,https://www.amazon.com/gp/your-account/order-history?order=10002,pass,pass,pass,1,pdf,legitimate,legit
Mailbox quota exceeded (18),Your inbox is over quota. Click here to keep receiving mail and enter your password: http://10.4.18.20/quota/login,mailadmin@quota-fix18.xyz,mailadmin@quota-fix18.xyz,http://10.4.18.20/quota/login,fail,none,fail,0,,credential_harvesting,phishing
Finance sync notes 20,Hi team — Quinn Brooks captured notes from the finance sync. Please review the ticket list and add estimates before Thursday. Doc: https://acme.com/docs/sync-20,quinn@acme.com,quinn@acme.com,https://acme.com/docs/sync-20,pass,pass,pass,0,,legitimate,legit
Mailbox quota exceeded (3),Your inbox is over quota. Click here to keep receiving mail and enter your password: http://10.4.3.20/quota/login,mailadmin@quota-fix3.xyz,mailadmin@quota-fix3.xyz,http://10.4.3.20/quota/login,fail,none,fail,0,,credential_harvesting,phishing
Mailbox quota exceeded (6),Your inbox is over quota. Click here to keep receiving mail and enter your password: http://10.4.6.20/quota/login,mailadmin@quota-fix6.xyz,mailadmin@quota-fix6.xyz,http://10.4.6.20/quota/login,fail,none,fail,0,,credential_harvesting,phishing
Reset your iCloud password,We received a request to reset your Apple ID. Confirm at http://xn--pple-43d.com/unlock using your current password and one-time code.,appleid@icloud-verify.xyz,appleid@icloud-verify.xyz,http://xn--pple-43d.com/unlock,fail,fail,fail,0,,credential_harvesting,phishing
Vendor payment 1812,Bank details changed this morning. Wire the outstanding balance using the new account in the attached spreadsheet. Do not use the old routing number.,accounts@vendor-pay12.top,wires@offbook12.gq,http://vendor-pay12.top/wire,fail,fail,fail,1,xlsm,invoice_fraud,phishing
Security alert from Google,"We noticed a new sign-in to your account. If this was you, you can ignore this message. Details: https://myaccount.google.com/notifications",Google <no-reply@accounts.google.com>,Google <no-reply@accounts.google.com>,https://myaccount.google.com/notifications,pass,pass,pass,0,,legitimate,legit
Vendor payment 1811,Bank details changed this morning. Wire the outstanding balance using the new account in the attached spreadsheet. Do not use the old routing number.,accounts@vendor-pay11.top,wires@offbook11.gq,http://vendor-pay11.top/wire,fail,fail,fail,1,xlsm,invoice_fraud,phishing
Receipt for order #10012,Thanks for your purchase. Your receipt is attached as a PDF. Track shipping at https://www.amazon.com/gp/your-account/order-history?order=10012,auto-confirm@amazon.com,auto-confirm@amazon.com,https://www.amazon.com/gp/your-account/order-history?order=10012,pass,pass,pass,1,pdf,legitimate,legit
Vendor payment 1806,Bank details changed this morning. Wire the outstanding balance using the new account in the attached spreadsheet. Do not use the old routing number.,accounts@vendor-pay6.top,wires@offbook6.gq,http://vendor-pay6.top/wire,fail,fail,fail,1,xlsm,invoice_fraud,phishing
Design sync notes 29,Hi team — Taylor Okoye captured notes from the design sync. Please review the ticket list and add estimates before Thursday. Doc: https://acme.com/docs/sync-29,taylor@acme.com,taylor@acme.com,https://acme.com/docs/sync-29,pass,pass,pass,0,,legitimate,legit
Password change confirmation (8),"Your password was changed successfully. If you did not do this, visit https://myaccount.google.com/security and sign in from a trusted device.",no-reply@accounts.google.com,no-reply@accounts.google.com,https://myaccount.google.com/security,pass,pass,pass,0,,legitimate,legit
Password change confirmation (6),"Your password was changed successfully. If you did not do this, visit https://myaccount.google.com/security and sign in from a trusted device.",no-reply@accounts.google.com,no-reply@accounts.google.com,https://myaccount.google.com/security,pass,pass,pass,0,,legitimate,legit
Mailbox quota exceeded (2),Your inbox is over quota. Click here to keep receiving mail and enter your password: http://10.4.2.20/quota/login,mailadmin@quota-fix2.xyz,mailadmin@quota-fix2.xyz,http://10.4.2.20/quota/login,fail,none,fail,0,,credential_harvesting,phishing
Vendor payment 1809,Bank details changed this morning. Wire the outstanding balance using the new account in the attached spreadsheet. Do not use the old routing number.,accounts@vendor-pay9.top,wires@offbook9.gq,http://vendor-pay9.top/wire,fail,fail,fail,1,xlsm,invoice_fraud,phishing
Receipt for order #10015,Thanks for your purchase. Your receipt is attached as a PDF. Track shipping at https://www.amazon.com/gp/your-account/order-history?order=10015,auto-confirm@amazon.com,auto-confirm@amazon.com,https://www.amazon.com/gp/your-account/order-history?order=10015,pass,pass,pass,1,pdf,legitimate,legit
Receipt for order #10007,Thanks for your purchase. Your receipt is attached as a PDF. Track shipping at https://www.amazon.com/gp/your-account/order-history?order=10007,auto-confirm@amazon.com,auto-confirm@amazon.com,https://www.amazon.com/gp/your-account/order-history?order=10007,pass,pass,pass,1,pdf,legitimate,legit
Mailbox quota exceeded (8),Your inbox is over quota. Click here to keep receiving mail and enter your password: http://10.4.8.20/quota/login,mailadmin@quota-fix8.xyz,mailadmin@quota-fix8.xyz,http://10.4.8.20/quota/login,fail,none,fail,0,,credential_harvesting,phishing
Invoice from Microsoft 365,"Please review the attached statement and confirm payment details. If the charge looks wrong, sign in at http://bit.ly/microsoft-bill.",billing@microsoft-statements.work,billing@microsoft-statements.work,http://bit.ly/microsoft-bill,softfail,fail,none,1,html,financial_scam,phishing
Your Apple ID was used to sign in,"If this was you, no further action is needed. Manage devices at https://appleid.apple.com. We will never ask for your password by email.",Apple <appleid@id.apple.com>,Apple <appleid@id.apple.com>,https://appleid.apple.com,pass,pass,pass,0,,legitimate,legit
Vendor payment 1815,Bank details changed this morning. Wire the outstanding balance using the new account in the attached spreadsheet. Do not use the old routing number.,accounts@vendor-pay15.top,wires@offbook15.gq,http://vendor-pay15.top/wire,fail,fail,fail,1,xlsm,invoice_fraud,phishing
Engineering sync notes 12,Hi team — Taylor Okoye captured notes from the engineering sync. Please review the ticket list and add estimates before Thursday. Doc: https://northwind.dev/docs/sync-12,taylor@northwind.dev,taylor@northwind.dev,https://northwind.dev/docs/sync-12,pass,pass,pass,0,,legitimate,legit
Design sync notes 18,Hi team — Quinn Brooks captured notes from the design sync. Please review the ticket list and add estimates before Thursday. Doc: https://northwind.dev/docs/sync-18,quinn@northwind.dev,quinn@northwind.dev,https://northwind.dev/docs/sync-18,pass,pass,pass,0,,legitimate,legit
PayPal security alert,Unusual sign-in on your PayPal account. Account will be limited. Verify your username and password at http://paypa1-secure.xyz/login within 24 hours.,PayPal Alerts <no-reply@paypa1-secure.xyz>,PayPal Alerts <no-reply@paypa1-secure.xyz>,http://paypa1-secure.xyz/login,fail,fail,fail,0,,credential_harvesting,phishing
Invoice 1842 from Acme Supplies,Please find invoice 1842 for April office supplies. Payment terms net 30. Contact billing@acme-supplies.com with questions.,vendor@acme-supplies.com,vendor@acme-supplies.com,https://acme-supplies.com/invoices/1842,pass,pass,pass,1,pdf,legitimate,legit
IT: malware detected on your workstation,The help desk found a virus. Install the security patch from http://desk-support.work/patch and enter your domain password.,helpdesk@it-support-desk.work,helpdesk@it-support-desk.work,http://desk-support.work/patch,fail,fail,fail,1,js,tech_support,phishing
Receipt for order #10003,Thanks for your purchase. Your receipt is attached as a PDF. Track shipping at https://www.amazon.com/gp/your-account/order-history?order=10003,auto-confirm@amazon.com,auto-confirm@amazon.com,https://www.amazon.com/gp/your-account/order-history?order=10003,pass,pass,pass,1,pdf,legitimate,legit
Ops sync notes 21,Hi team — Casey Nguyen captured notes from the ops sync. Please review the ticket list and add estimates before Thursday. Doc: https://brightline.co/docs/sync-21,casey@brightline.co,casey@brightline.co,https://brightline.co/docs/sync-21,pass,pass,pass,0,,legitimate,legit
Finance sync notes 24,Hi team — Quinn Okoye captured notes from the finance sync. Please review the ticket list and add estimates before Thursday. Doc: https://northwind.dev/docs/sync-24,quinn@northwind.dev,quinn@northwind.dev,https://northwind.dev/docs/sync-24,pass,pass,pass,0,,legitimate,legit
Updated payroll file — action required,Please open payroll-update.docm and enable macros so we can process this week's payments. Failure to respond may delay deposits.,payroll@acme-hr-secure.click,payroll@acme-hr-secure.click,http://acme-hr-secure.click/payroll,fail,fail,fail,1,docm,malware_attachment,phishing
Microsoft account security code,"Your security code is 184293. If you did not request this, you can ignore the email. Do not forward the code.",account-security-noreply@accountprotection.microsoft.com,account-security-noreply@accountprotection.microsoft.com,https://account.microsoft.com/security,pass,pass,pass,0,,legitimate,legit
Engineering sync notes 28,Hi team — Morgan Brooks captured notes from the engineering sync. Please review the ticket list and add estimates before Thursday. Doc: https://acme.com/docs/sync-28,morgan@acme.com,morgan@acme.com,https://acme.com/docs/sync-28,pass,pass,pass,0,,legitimate,legit
"YOU HAVE WON $1,000,000!!!",CLICK HERE NOW to claim your prize. Send your login and bank account details to receive the transfer. http://prize-claim.icu/win,winner@prize-claim.icu,winner@prize-claim.icu,http://prize-claim.icu/win,none,none,none,0,,prize,phishing
Mailbox quota exceeded (5),Your inbox is over quota. Click here to keep receiving mail and enter your password: http://10.4.5.20/quota/login,mailadmin@quota-fix5.xyz,mailadmin@quota-fix5.xyz,http://10.4.5.20/quota/login,fail,none,fail,0,,credential_harvesting,phishing
Mailbox quota exceeded (14),Your inbox is over quota. Click here to keep receiving mail and enter your password: http://10.4.14.20/quota/login,mailadmin@quota-fix14.xyz,mailadmin@quota-fix14.xyz,http://10.4.14.20/quota/login,fail,none,fail,0,,credential_harvesting,phishing
Vendor payment 1801,Bank details changed this morning. Wire the outstanding balance using the new account in the attached spreadsheet. Do not use the old routing number.,accounts@vendor-pay1.top,wires@offbook1.gq,http://vendor-pay1.top/wire,fail,fail,fail,1,xlsm,invoice_fraud,phishing
Delivery exception — extra customs fee,Your package is on hold. Pay the customs fee with a credit card at http://parcel-hold.icu/pay to avoid return to sender.,tracking@dhl-express-pay.icu,tracking@dhl-express-pay.icu,http://parcel-hold.icu/pay,fail,fail,none,0,,financial_scam,phishing
Final notice: bank account locked,Unauthorized transfers detected. Act now and verify your bank account at http://bit.ly/bank-verify within 24 hours.,alerts@bankofamerica-verify.tk,alerts@bankofamerica-verify.tk,http://bit.ly/bank-verify,fail,softfail,fail,0,,financial_scam,phishing
New sign-in on GitHub,"A new sign-in from Chrome on macOS was recorded. If this was you, no action is needed. Review sessions at https://github.com/settings/sessions",GitHub <noreply@github.com>,GitHub <noreply@github.com>,https://github.com/settings/sessions,pass,pass,pass,0,,legitimate,legit
Mailbox quota exceeded (16),Your inbox is over quota. Click here to keep receiving mail and enter your password: http://10.4.16.20/quota/login,mailadmin@quota-fix16.xyz,mailadmin@quota-fix16.xyz,http://10.4.16.20/quota/login,fail,none,fail,0,,credential_harvesting,phishing
Sales sync notes 4,Hi team — Jordan Nguyen captured notes from the sales sync. Please review the ticket list and add estimates before Thursday. Doc: https://northwind.dev/docs/sync-4,jordan@northwind.dev,jordan@northwind.dev,https://northwind.dev/docs/sync-4,pass,pass,pass,0,,legitimate,legit
URGENT: Your PayPal account will be suspended,We detected unusual activity. Verify your password immediately or your account will be closed. Click http://192.168.1.50/paypal to confirm your identity.,PayPal Security <security@paypa1.com>,verify@accounts-secure.xyz,http://192.168.1.50/paypal,fail,fail,fail,0,,credential_harvesting,phishing
